2023-06-28,18,54,29,513340,34.43,0.00,32.73,{'roll': 3.9116728164415746, 'pitch': 1.527189317279831, 'yaw': 355.73666464885656},{'roll': 3.7775974836946933, 'pitch': 1.46972778956616, 'yaw': 355.73336737503473},351.73,0:00:00.078908
2023-06-28,18,54,34,739434,34.32,1006.33,33.19,{'roll': 1.3199626585221136, 'pitch': 359.24586392606096, 'yaw': 347.63993002227306},{'roll': 1.2379599409554694, 'pitch': 359.2344754393936, 'yaw': 347.6395321637539},343.90,0:00:00.083186
2023-06-28,18,54,39,981011,34.39,1006.31,32.83,{'roll': 358.74731246364667, 'pitch': 358.0117283040713, 'yaw': 340.0395251789937},{'roll': 358.7174450069016, 'pitch': 358.02332553839517, 'yaw': 340.0396737356082},336.54,0:00:00.086268
2023-06-28,18,54,45,218852,34.25,1006.31,32.95,{'roll': 356.8792551920397, 'pitch': 356.39743337086287, 'yaw': 332.77590244953575},{'roll': 356.88636712651294, 'pitch': 356.44214250850933, 'yaw': 332.77576413820503},329.49,0:00:00.074018
2023-06-28,18,54,50,460847,34.38,1006.32,31.42,{'roll': 356.01851966203316, 'pitch': 355.32648702976155, 'yaw': 326.40366551054126},{'roll': 356.0385585832843, 'pitch': 355.3923313340209, 'yaw': 326.4031054350293},323.26,0:00:00.075905
2023-06-28,18,54,55,691231,34.34,1006.36,32.72,{'roll': 355.964696490713, 'pitch': 355.0060892590986, 'yaw': 319.41765240480385},{'roll': 355.98861624007316, 'pitch': 355.07799834445416, 'yaw': 319.4169147443735},316.42,0:00:00.073031
2023-06-28,18,55,0,905902,34.55,1006.22,32.47,{'roll': 355.4007789973638, 'pitch': 354.4882866417044, 'yaw': 313.1640199931994},{'roll': 355.4373563679165, 'pitch': 354.5712119684175, 'yaw': 313.16271542706795},310.30,0:00:00.075563
2023-06-28,18,55,6,146668,34.46,1006.32,32.51,{'roll': 354.49795989711646, 'pitch': 354.1577528703132, 'yaw': 307.0504815916611},{'roll': 354.5528186958695, 'pitch': 354.248662688166, 'yaw': 307.0483369122617},304.34,0:00:00.067842
2023-06-28,18,55,11,378128,34.41,1006.35,32.49,{'roll': 354.44266695446424, 'pitch': 354.1691558711325, 'yaw': 301.8928554852227},{'roll': 354.4987180481143, 'pitch': 354.2584247360373, 'yaw': 301.8907108058233},299.26,0:00:00.099564
2023-06-28,18,55,16,624142,34.54,1006.36,32.68,{'roll': 353.58474695649966, 'pitch': 355.07270878982877, 'yaw': 296.4339633948734},{'roll': 353.65914607269445, 'pitch': 355.14131718626794, 'yaw': 296.4317845645282},293.95,0:00:00.100536
2023-06-28,18,55,21,874265,34.55,1006.37,32.77,{'roll': 353.6186178645937, 'pitch': 354.881879707721, 'yaw': 292.3450296671102},{'roll': 353.6903869310713, 'pitch': 354.95549719414265, 'yaw': 292.3427620443058},289.94,0:00:00.085070
2023-06-28,18,55,27,111092,34.57,1006.35,32.18,{'roll': 353.0094059717636, 'pitch': 354.1074135223565, 'yaw': 287.55784570049667},{'roll': 353.0940012797288, 'pitch': 354.1961910405279, 'yaw': 287.5546218512084},285.26,0:00:00.074418
2023-06-28,18,55,32,342483,34.43,1006.33,33.11,{'roll': 352.47958862473257, 'pitch': 353.91527944723043, 'yaw': 283.0168217515704},{'roll': 352.5727216691603, 'pitch': 354.0119069871922, 'yaw': 283.01295586450016},280.80,0:00:00.070248
2023-06-28,18,59,26,236807,34.73,1006.40,32.52,{'roll': 359.91278434065254, 'pitch': 359.9403994157868, 'yaw': 356.0512170582505},{'roll': 359.8587458983116, 'pitch': 359.9128531694827, 'yaw': 356.05058142377084},352.20,0:00:00.084257
2023-06-28,18,59,31,472395,34.84,1006.33,30.52,{'roll': 358.0449876967913, 'pitch': 357.8914407753811, 'yaw': 348.28098340324016},{'roll': 358.0276571589894, 'pitch': 357.90569559362234, 'yaw': 348.2810909787196},344.65,0:00:00.078799
2023-06-28,18,59,36,707326,34.86,1006.35,32.28,{'roll': 356.6630547319296, 'pitch': 356.4429642656438, 'yaw': 340.82878939608185},{'roll': 356.67511641911705, 'pitch': 356.48590865316345, 'yaw': 340.8285708300284},337.39,0:00:00.069312
2023-06-28,18,59,41,947680,34.80,1006.39,31.84,{'roll': 355.0151883517335, 'pitch': 355.81838572784164, 'yaw': 333.9842090174879},{'roll': 355.05848321333497, 'pitch': 355.87321677895125, 'yaw': 333.98319131930157},330.71,0:00:00.096661
2023-06-28,18,59,47,186771,34.91,1006.33,32.59,{'roll': 354.48534496460627, 'pitch': 354.7917788403979, 'yaw': 327.13666092169956},{'roll': 354.539046046295, 'pitch': 354.8654065721034, 'yaw': 327.13497044988},324.02,0:00:00.095794
2023-06-28,18,59,52,418673,34.84,1006.39,31.05,{'roll': 353.45331063809334, 'pitch': 354.42162698361284, 'yaw': 320.5927727911262},{'roll': 353.5291906246776, 'pitch': 354.50525496603683, 'yaw': 320.59005096074196},317.63,0:00:00.096827
2023-06-28,18,59,57,663371,34.91,1006.35,33.13,{'roll': 352.5114890232511, 'pitch': 353.976564173332, 'yaw': 314.5137575807477},{'roll': 352.6054749875514, 'pitch': 354.0687994747707, 'yaw': 314.5100385427446},311.71,0:00:00.066492
2023-06-28,19,0,2,888610,35.09,1006.35,31.50,{'roll': 352.2788382659685, 'pitch': 353.2942940158185, 'yaw': 308.63397215826933},{'roll': 352.3781355561221, 'pitch': 353.3984031742424, 'yaw': 308.6295359504034},305.96,0:00:00.069862
